,Ead_NNP,Ead_reg,ontop_element,site_info
62,-1.563416958,-1.393087303,Pt,corner
63,-1.50476265,-1.317100772,Pt,edge
64,-1.431612492,-1.220004805,Pt,edge
65,-1.690655231,-1.527006454,Pt,corner
66,-1.367058277,-1.132955739,Pt,edge
67,-1.535181522,-1.433639867,Pt,corner
68,-1.145103455,-1.044848452,Pt,facet
69,-1.213319302,-1.06452177,Pt,facet
70,-1.157410622,-0.984702355,Pt,facet
71,-1.150382519,-0.983839282,Pt,facet
72,-1.234031677,-1.003527693,Pt,facet
73,-1.320532799,-1.119660859,Pt,facet
74,-1.169800282,-0.956942783,Pt,facet
75,-1.530622005,-1.427688923,Pt,edge
76,-1.702310562,-1.630281397,Pt,corner
77,-1.673936844,-1.51590424,Rh,edge
78,-1.640994549,-1.562138983,Rh,corner
79,-1.280623913,-1.362365364,Rh,facet
80,-1.527178764,-1.438805965,Rh,facet
81,-1.755684853,-1.636871906,Rh,corner
82,-1.534436226,-1.435528744,Rh,facet
83,-1.548982143,-1.449781198,Rh,facet
84,-1.323689461,-1.374487319,Rh,facet
85,-1.336446762,-1.374402587,Rh,facet
86,-1.5096488,-1.485756832,Rh,edge
87,-1.931663036,-1.738427498,Rh,corner
88,-1.345759869,-1.3603299,Rh,facet
89,-1.391366482,-1.392350245,Rh,facet
90,-1.424437523,-1.446959596,Rh,edge
91,-1.485453606,-1.459558826,Rh,edge
92,-1.705426693,-1.525175999,Rh,edge
93,-1.469753265,-1.492654829,Rh,edge
94,-1.34877634,-1.382874331,Rh,facet
95,-1.663694859,-1.512057021,Rh,edge
96,-1.644659042,-1.55674451,Rh,corner
97,-1.582179546,-1.420296299,Rh,facet
98,-1.704806805,-1.46015868,Rh,facet
99,-1.459585667,-1.411911179,Rh,facet
100,-1.504307747,-1.435444012,Rh,facet
101,-1.775658607,-1.583242968,Rh,edge
102,-1.764523506,-1.657457195,Rh,corner
103,-2.163887024,-2.030672038,Ru,edge
104,-1.902433395,-1.728892177,Ru,facet
105,-2.003007412,-1.964355728,Ru,edge
106,-1.917142391,-1.759053192,Ru,facet
107,-1.907734871,-1.7342803,Ru,facet
108,-1.676677704,-1.64327264,Ru,facet
109,-2.02504158,-1.894648323,Ru,edge
110,-1.759988785,-1.69947093,Ru,facet
111,-1.946065903,-1.762157171,Ru,facet
112,-2.04948616,-1.94321045,Ru,edge
113,-1.873045444,-1.733160824,Ru,facet
114,-1.992183208,-1.794312514,Ru,facet
115,-1.787013531,-1.671681986,Ru,facet
116,-2.319913864,-2.07879281,Ru,facet
117,-1.806414127,-1.68135202,Ru,facet
118,-2.468474865,-2.4134975,Ru,corner
119,-2.221375465,-2.146409363,Ru,corner
120,-1.809776783,-1.675952599,Ru,facet
121,-2.206611156,-2.216466512,Ru,corner
122,-1.999560356,-2.090947057,Ir,edge
123,-1.826806068,-1.815253548,Ir,facet
124,-1.654477596,-1.769425002,Ir,facet
125,-1.642256737,-1.746888898,Ir,facet
126,-1.840849876,-1.895596128,Ir,facet
127,-1.588595867,-1.713260007,Ir,facet
128,-1.676608562,-1.703298788,Ir,facet
129,-1.852820873,-1.936338789,Ir,edge
130,-2.084152699,-2.222596942,Ir,corner
131,-2.158499718,-2.338337224,Ir,corner
132,-2.173073769,-2.360800105,Ir,corner
133,-1.816794872,-1.991253118,Ir,edge
134,-1.612170696,-1.694199185,Ir,facet
135,-1.931275368,-1.988319213,Ir,edge
136,-1.912519455,-2.000777353,Ir,edge
137,-2.08999157,-2.248131644,Ir,corner
138,-1.693091869,-1.738342141,Ir,facet
139,-1.976102352,-2.129769756,Ir,corner
140,-1.809051991,-1.863124683,Ir,facet
141,-1.877528191,-1.846832794,Ir,facet
142,-1.986886501,-2.008509546,Ir,edge
143,-2.224332333,-2.247411181,Ir,edge
144,-1.277953148,-1.434553938,Pd,edge
145,-0.968276978,-1.239399265,Pd,facet
146,-1.413598061,-1.530358778,Pd,corner
147,-1.489692211,-1.522653664,Pd,edge
148,-1.15294075,-1.277937371,Pd,facet
149,-1.299418926,-1.408038397,Pd,edge
150,-1.007834435,-1.219382328,Pd,facet
151,-1.219550133,-1.393533216,Pd,edge
152,-0.96789217,-1.218786658,Pd,facet
153,-0.873384953,-1.183583115,Pd,facet
154,-1.171143532,-1.357850103,Pd,edge
155,-1.144967556,-1.33935862,Pd,edge
156,-1.148124218,-1.393730124,Pd,edge
157,-0.949317932,-1.228295272,Pd,facet
158,-0.878818989,-1.165953803,Pd,facet
159,-0.994059563,-1.233095591,Pd,facet
160,-1.18484211,-1.362857224,Pd,edge
161,-1.27686882,-1.423069983,Pd,edge
162,-1.04121685,-1.224554362,Pd,facet
163,-1.323958397,-1.439477612,Pd,edge
164,-1.247287273,-1.437729853,Pd,corner
165,-1.274253368,-1.402090607,Pd,corner
166,-1.401863575,-1.53428868,Pd,corner
167,-1.454255104,-1.526615889,Pd,corner
168,-1.058274269,-0.918101809,Pt,facet
169,-1.449198723,-1.346277594,Pt,edge
170,-1.508785725,-1.227409118,Pt,facet
171,-1.65225935,-1.527077613,Pt,corner
172,-2.101928711,-2.027575778,Pt,corner
173,-1.424350262,-1.328112633,Pt,edge
174,-1.066225052,-0.990665158,Pt,facet
175,-1.174143314,-0.965743323,Pt,facet
176,-1.086941719,-0.98885222,Pt,facet
177,-1.107119083,-0.988268393,Pt,facet
178,-1.496086121,-1.332575706,Pt,edge
179,-1.049185753,-0.904530918,Pt,facet
180,-1.353013515,-1.264265726,Pt,edge
181,-1.226565361,-1.130434445,Pt,facet
182,-1.440363407,-1.198927175,Pt,facet
183,-1.244102001,-1.071600477,Pt,facet
184,-1.08825016,-0.989495886,Pt,facet
185,-1.321482182,-1.121273258,Pt,facet
186,-1.402630806,-1.201590248,Pt,edge
187,-1.421103001,-1.287777858,Pt,facet
188,-1.494759083,-1.412197817,Pt,edge
189,-1.261620045,-0.999959499,Pt,facet
190,-1.075353146,-0.895109892,Pt,facet
191,-1.249961376,-1.022953571,Pt,facet
192,-1.131046295,-0.9489913,Pt,facet
193,-1.607647896,-1.44249755,Pt,corner
194,-1.47280407,-1.223357366,Pt,edge
195,-1.656821251,-1.403127735,Pt,edge
196,-1.651339531,-1.54505021,Rh,edge
197,-1.484326363,-1.424552671,Rh,facet
198,-1.628087997,-1.442985595,Rh,facet
199,-1.378602028,-1.390250023,Rh,facet
200,-1.743040562,-1.613768411,Rh,corner
201,-1.403169155,-1.425302224,Rh,facet
202,-1.57474041,-1.496537791,Rh,edge
203,-1.434514046,-1.414270854,Rh,facet
204,-1.545725822,-1.45008186,Rh,facet
205,-1.504253864,-1.498217085,Rh,edge
206,-1.360577583,-1.392210847,Rh,facet
207,-1.519977093,-1.418065299,Rh,facet
208,-1.475605488,-1.39326674,Rh,facet
209,-1.739008904,-1.631523057,Rh,corner
210,-1.563652039,-1.498970844,Rh,edge
211,-1.579545498,-1.515362627,Rh,edge
212,-1.677693367,-1.581429321,Rh,corner
213,-1.354134083,-1.378500427,Rh,facet
214,-1.701088905,-1.592679986,Rh,corner
215,-1.465533733,-1.400045734,Rh,facet
216,-1.646284103,-1.550525842,Rh,corner
217,-1.305495262,-1.382446885,Rh,facet
218,-1.324219704,-1.383148501,Rh,facet
219,-1.450275898,-1.408319419,Rh,facet
220,-1.459285259,-1.405444202,Rh,facet
221,-1.712708473,-1.612006066,Rh,corner
222,-1.359292984,-1.380187712,Rh,facet
223,-1.933844566,-1.748767667,Ru,facet
224,-2.180657864,-2.221419175,Ru,corner
225,-1.853783131,-1.882442153,Ru,edge
226,-1.975399494,-1.967367605,Ru,edge
227,-2.082026482,-2.02879904,Ru,edge
228,-2.188856602,-2.229459361,Ru,corner
229,-1.938034534,-2.020951164,Ru,corner
230,-1.791895866,-1.708576068,Ru,facet
231,-2.361335278,-2.267664492,Ru,corner
232,-2.069745541,-1.962504098,Ru,edge
233,-1.892846107,-1.895485351,Ru,edge
234,-1.793395042,-1.688164663,Ru,facet
235,-1.889984131,-1.943399813,Ru,corner
236,-1.965144157,-1.886627785,Ru,edge
237,-1.768169403,-1.679391095,Ru,facet
238,-2.007016182,-1.806805062,Ru,facet
239,-2.004016399,-1.814937105,Ru,facet
240,-1.882809162,-1.698744425,Ru,facet
241,-1.900247574,-1.707966472,Ru,facet
242,-2.041248322,-1.779238638,Ru,facet
243,-1.988837719,-1.815270639,Ru,facet
244,-1.479137421,-1.643228586,Ir,facet
245,-2.089412689,-2.116342078,Ir,edge
246,-1.661586761,-1.720219392,Ir,facet
247,-1.580998421,-1.644294284,Ir,facet
248,-1.956214428,-2.049584209,Ir,edge
249,-1.981806278,-2.104665568,Ir,edge
250,-2.303081512,-2.46040406,Ir,corner
251,-2.305058002,-2.434754671,Ir,corner
252,-1.964412212,-2.117678612,Ir,edge
253,-2.127016068,-2.321647463,Ir,corner
254,-1.657428265,-1.745640291,Ir,facet
255,-1.93862009,-1.940824778,Ir,facet
256,-1.685683727,-1.714158675,Ir,facet
257,-1.692117214,-1.72722171,Ir,facet
258,-2.131688118,-2.28900693,Ir,corner
