,Ead_NNP,Ead_reg,ontop_element,ad_place_num
1096,-2.267252922058109,-2.24853810280866,Ru,3
1097,-1.8342142105102504,-1.8052046871615304,Ru,2
1098,-1.9315819740295368,-2.0179485021959573,Ir,2
1099,-2.0120296478271475,-2.2497310737458704,Ir,3
1100,-2.006848335266115,-2.0956668293017233,Ir,2
1101,-1.800544738769532,-1.9139159013330311,Ir,2
1102,-1.6857728958129865,-1.7134811449991012,Ir,1
1103,-1.705410003662112,-1.7879047476493755,Ir,1
1104,-1.774257183074952,-1.840206292879288,Ir,1
1105,-1.7559757232666031,-1.8318524431531538,Ir,1
1106,-2.23486375808716,-2.312497868344048,Ir,3
1107,-1.865983963012693,-1.8257117401828236,Ir,1
1108,-1.5506482124328658,-1.6660740476304172,Ir,1
1109,-1.6150774955749485,-1.7255872871254565,Ir,1
1110,-1.700888633728023,-1.7543576068173068,Ir,1
1111,-2.1351599693298366,-2.140800202153283,Ir,2
1112,-2.238063812255861,-2.2191940007044493,Ir,2
1113,-2.1019883155822745,-2.343349298797369,Ir,3
1114,-1.6648173332214364,-1.7591467787632313,Ir,1
1115,-1.9384884834289573,-2.0006567860738738,Ir,2
1116,-2.2150001525878933,-2.323366283298575,Ir,3
1117,-1.9377112388610824,-1.8842724973044838,Ir,1
1118,-1.859026908874512,-1.9884671289756013,Ir,2
1119,-1.8494563102722177,-1.893519427909887,Ir,1
1120,-1.926103591918948,-2.0129578944903037,Ir,2
1121,-1.7099747657775897,-1.7754874828459486,Ir,1
1122,-1.6576609611511255,-1.752222681830974,Ir,1
1123,-2.2821831703186053,-2.3035791162902632,Ir,2
1124,-1.6567168235778835,-1.7180391804382409,Ir,1
1125,-1.8211717605590805,-1.924727855461473,Ir,1
1126,-0.8522763252258292,-1.1988614123321295,Pd,1
1127,-1.005743503570553,-1.2054279600851883,Pd,1
1128,-1.0241150856018075,-1.2363697943214604,Pd,1
1129,-1.1347546577453622,-1.2990895770415312,Pd,1
1130,-1.1371598243713388,-1.3441853247705458,Pd,2
1131,-0.8761868476867685,-1.1938345021756995,Pd,1
1132,-1.2523875236511255,-1.4110157551698759,Pd,2
1133,-0.9573140144348145,-1.2251543194209125,Pd,1
1134,-0.819242477416994,-1.177893250179073,Pd,1
1135,-1.258949756622313,-1.416676265117035,Pd,3
1136,-1.320735454559328,-1.3912227705568339,Pd,2
1137,-1.290452957153322,-1.4292278736730977,Pd,3
1138,-0.985375881195071,-1.2166246347837208,Pd,1
1139,-1.3844437599182156,-1.5526746176996082,Pd,3
1140,-1.3126525878906223,-1.4552199775296344,Pd,2
1141,-0.9207234382629405,-1.2243257912198133,Pd,1
1142,-0.9295253753662128,-1.2232281232845992,Pd,1
1143,-1.133250236511235,-1.2715334283085564,Pd,1
1144,-1.2927794456481934,-1.4290999003681508,Pd,2
1145,-1.4057493209838894,-1.479672773617648,Pd,3
1146,-0.8891878128051776,-1.2046657273333012,Pd,1
1147,-1.3727502822875977,-1.5556123966355917,Pd,3
1148,-1.2645893096923873,-1.4108904204897732,Pd,3
1149,-1.016898155212404,-0.9602980393741709,Pt,1
1150,-1.1019182205200222,-1.019673247688819,Pt,1
1151,-1.4335894584655762,-1.2136301411211223,Pt,2
1152,-0.9953985214233424,-0.920862994852756,Pt,1
1153,-1.4099779129028347,-1.1644888961320774,Pt,2
1154,-1.5789251327514648,-1.439763857297769,Pt,3
1155,-1.3017807006835955,-1.1212064118585117,Pt,1
1156,-1.4842185974121105,-1.3670560330450243,Pt,3
1157,-1.23917818069458,-1.10260425359489,Pt,1
1158,-1.1685552597045898,-0.9884112498372037,Pt,1
1159,-1.2201681137085014,-1.024944407265186,Pt,1
1160,-1.4690794944763192,-1.1787417277990404,Pt,2
1161,-1.0174417495727566,-0.8791756589926154,Pt,1
1162,-1.3922429084777814,-1.1947746135589843,Pt,2
1163,-1.6294260025024414,-1.5144161561457228,Pt,3
1164,-1.582897663116456,-1.4548495731481517,Pt,3
1165,-1.4406976699829075,-1.2897379657265104,Pt,2
1166,-1.0838642120361293,-0.9779907635812033,Pt,1
1167,-1.6364932060241726,-1.4943385260309539,Pt,3
1168,-1.2477231025695827,-1.0018144857287163,Pt,1
1169,-1.2244372367858904,-1.010747101210451,Pt,1
1170,-1.559390068054201,-1.478760626841112,Pt,3
1171,-1.5509872436523455,-1.3775660071809261,Pt,3
1172,-1.4718818664550826,-1.2555584473566603,Pt,2
1173,-1.6889872550964349,-1.5337619102661648,Rh,2
1174,-1.6651024818420428,-1.582471337409301,Rh,3
1175,-1.3831486701965303,-1.3888184072800231,Rh,1
1176,-1.5916404724121094,-1.500164663316148,Rh,2
1177,-1.6520047187805194,-1.5013925437258515,Rh,2
1178,-1.625005245208743,-1.495740088771321,Rh,2
1179,-1.3809728622436517,-1.3873020590754377,Rh,1
1180,-1.3841042518615705,-1.4007528161525515,Rh,1
1181,-1.3455705642700195,-1.385463812770295,Rh,1
1182,-1.6367588043212882,-1.5131572780280667,Rh,2
1183,-1.7880554199218786,-1.6581424112061813,Rh,3
1184,-1.538563251495364,-1.478402795842604,Rh,2
1185,-1.4677686691284189,-1.4004376461638282,Rh,1
1186,-1.5794582366943342,-1.4349183782990453,Rh,1
1187,-1.2961883544921884,-1.3599453461049413,Rh,1
1188,-1.6152148246765146,-1.4783004023906305,Rh,2
1189,-1.4776592254638672,-1.405160570417794,Rh,1
1190,-1.5360541343689018,-1.438562281617635,Rh,1
1191,-1.489345073699953,-1.43565741933331,Rh,1
1192,-1.3487567901611357,-1.3759193553732962,Rh,1
1193,-1.6507863998413104,-1.5460268376325381,Rh,2
1194,-1.7685446739196822,-1.6885684411584128,Ru,1
1195,-2.233368396759036,-2.0649717745505707,Ru,2
1196,-1.9579429626464853,-1.976378184025349,Ru,3
1197,-2.050204277038577,-2.0367581766918748,Ru,2
1198,-2.0266108512878453,-1.9127365321389587,Ru,2
1199,-1.9700360298156767,-1.9489451247962257,Ru,3
1200,-1.814068794250491,-1.711525806414374,Ru,1
1201,-1.7718191146850604,-1.6509380303367032,Ru,1
1202,-1.7654194831848171,-1.6975910550967364,Ru,1
1203,-1.9991421699523952,-1.9251576083231607,Ru,2
1204,-1.9167466163635227,-1.763527166353004,Ru,1
1205,-1.7667622566223145,-1.683419047543678,Ru,1
1206,-1.95340967178345,-1.8716305385145156,Ru,2
1207,-1.958154678344731,-1.8639420610884136,Ru,1
1208,-1.9261894226074217,-1.9811756229968558,Ru,3
1209,-1.9227757453918457,-1.7622676943289481,Ru,1
1210,-1.7774834632873562,-1.718298170219234,Ru,1
1211,-1.9242939949035671,-1.7788938057167116,Ru,1
1212,-1.8367915153503391,-1.7062486972277768,Ru,1
1213,-1.6809635162353531,-1.618873562379494,Ru,1
1214,-1.721842288970949,-1.6417980163150139,Ru,1
1215,-1.8749461174011293,-1.8205099248079963,Ru,2
1216,-1.963383674621582,-2.0293948827602835,Ru,3
1217,-1.8779349327087385,-1.87669691700754,Ru,2
1218,-2.091805458068852,-1.9875191572085016,Ru,2
1219,-2.1158328056335414,-2.1312448584310593,Ru,3
1220,-1.849681854248046,-1.9568084851493488,Ir,2
1221,-1.843457221984858,-1.8662664929190664,Ir,1
1222,-1.913917064666741,-2.1840618398067697,Ir,3
1223,-2.191980838775629,-2.3665079416966313,Ir,3
1224,-1.5880575180053658,-1.6475284306623663,Ir,1
1225,-1.8358616828918404,-1.8589724599492328,Ir,1
1226,-1.9724526405334428,-2.0374718912824044,Ir,2
1227,-1.897247314453118,-2.0011514064357208,Ir,2
1228,-1.669779300689691,-1.7372911458659575,Ir,1
1229,-2.037755489349361,-2.215823112947104,Ir,3
1230,-1.897116661071772,-1.9180396001048412,Ir,2
1231,-2.060571670532221,-2.1595287286725044,Ir,2
1232,-1.9072537422180105,-1.9636458323748618,Ir,2
