,Ead_NNP,Ead_reg,ontop_element,struct_no,site_info
723,-1.934371471,-1.991253467,Ru,13,corner
724,-2.226166725,-2.132612469,Ru,13,edge
725,-2.12501049,-1.997995238,Ru,13,facet
726,-1.714588642,-1.71105565,Ru,13,facet
727,-1.665222168,-1.671822824,Ru,13,facet
728,-1.854067802,-1.832640572,Ru,13,facet
729,-2.039442539,-1.989916538,Ru,13,edge
730,-1.907673836,-1.908365672,Ru,13,facet
731,-1.898819447,-1.903703233,Ru,13,facet
732,-1.661170006,-1.690267176,Ir,14,facet
733,-1.688390732,-1.758277957,Ir,14,facet
734,-2.43686676,-2.375137471,Ir,14,corner
735,-2.132153511,-2.040878174,Ir,14,edge
736,-1.74852705,-1.724128849,Ir,14,facet
737,-1.874269485,-1.893473052,Ir,14,edge
738,-2.196764946,-2.097569038,Ir,14,edge
739,-1.902384758,-1.961151411,Ir,14,corner
740,-1.762468815,-1.811987784,Ir,14,edge
