,Ead_NNP,Ead_reg,ontop_element,struct_no,site_info
889,-1.017874718,-1.033470419,Pd,15,facet
890,-0.983406544,-0.970163512,Pd,15,facet
891,-0.928870201,-0.97258168,Pd,15,facet
892,-1.070940018,-1.079431728,Pd,15,facet
893,-1.063815117,-1.028296748,Pd,15,facet
894,-1.162322521,-1.173979058,Pd,15,edge
895,-0.851741791,-0.884055017,Pd,15,facet
896,-1.078287601,-1.113323253,Pd,15,edge
897,-1.514460564,-1.527303393,Pt,15,edge
898,-1.155276775,-1.211037587,Pt,15,facet
899,-1.683256626,-1.723953394,Pt,15,corner
900,-1.415924072,-1.411405076,Pt,15,edge
901,-1.328691006,-1.319892712,Pt,15,edge
902,-1.561014652,-1.545709481,Pt,15,edge
903,-1.258889675,-1.207826383,Pt,15,facet
904,-1.175242424,-1.158319309,Pt,15,facet
905,-1.135556221,-1.131567066,Pt,15,facet
906,-1.183852673,-1.2407363,Pt,15,facet
907,-1.465502262,-1.490288162,Pt,15,edge
908,-1.199879169,-1.187891111,Pt,15,facet
909,-1.119938374,-1.158184224,Pt,15,facet
910,-1.02067852,-1.120427488,Pt,15,facet
911,-1.765921116,-1.683195616,Pt,15,edge
912,-1.739391327,-1.675585578,Pt,15,corner
913,-1.626366138,-1.601345194,Pt,15,corner
914,-1.592816353,-1.571541657,Pt,15,edge
915,-1.140886784,-1.23183118,Pt,15,facet
916,-1.722793579,-1.776045543,Pt,15,corner
917,-1.548009872,-1.54645358,Pt,15,edge
918,-1.230501652,-1.192668693,Pt,15,facet
919,-1.173223495,-1.186761258,Pt,15,facet
920,-1.06815958,-1.114956528,Pt,15,facet
921,-1.735910416,-1.726742005,Pt,15,corner
922,-1.235954762,-1.168088956,Pt,15,facet
923,-1.181112766,-1.171413573,Pt,15,facet
924,-1.65978384,-1.713023773,Pt,15,corner
925,-1.303038597,-1.288589695,Pt,15,edge
926,-1.300906658,-1.220093228,Pt,15,facet
927,-1.615086555,-1.66017059,Rh,15,edge
928,-1.508156776,-1.470102711,Rh,15,facet
929,-1.55300951,-1.589685503,Rh,15,edge
930,-1.393770218,-1.424418666,Rh,15,facet
931,-1.467763901,-1.431565147,Rh,15,facet
932,-1.274366379,-1.313768829,Rh,15,facet
933,-1.571594238,-1.580376035,Rh,15,edge
934,-1.700681686,-1.725924796,Rh,15,corner
935,-1.594264507,-1.515052814,Rh,15,facet
936,-1.334196568,-1.456930118,Rh,15,facet
937,-1.489732265,-1.518805436,Rh,15,edge
938,-1.626601219,-1.60038944,Rh,15,edge
939,-1.421662807,-1.394851035,Rh,15,facet
940,-1.578523636,-1.543702682,Rh,15,edge
941,-1.863099098,-1.848476584,Rh,15,corner
942,-1.843504429,-1.743592689,Rh,15,edge
943,-1.595494747,-1.664098364,Rh,15,corner
944,-1.487699032,-1.543922795,Rh,15,edge
945,-1.373090267,-1.37446875,Rh,15,facet
946,-1.361183643,-1.368302666,Rh,15,facet
947,-1.537324905,-1.557146002,Rh,15,edge
948,-1.471293449,-1.420105108,Rh,15,facet
949,-1.345986843,-1.36552867,Rh,15,facet
950,-1.362486362,-1.372733797,Rh,15,facet
951,-1.511629105,-1.483782736,Rh,15,facet
952,-2.516887188,-2.425412818,Ru,15,corner
953,-1.975988388,-1.957063361,Ru,15,facet
954,-2.202656269,-2.19013985,Ru,15,corner
955,-2.133743763,-1.956246307,Ru,15,facet
956,-2.101772785,-1.955906569,Ru,15,facet
957,-2.135971546,-2.033891162,Ru,15,edge
958,-1.783038139,-1.745304377,Ru,15,facet
959,-2.060245991,-1.95475681,Ru,15,facet
960,-2.328281403,-2.186869175,Ru,15,edge
961,-2.347219944,-2.223679163,Ru,15,corner
962,-1.969787598,-1.958731701,Ru,15,edge
963,-2.039543629,-1.988168902,Ru,15,edge
964,-2.153271198,-2.106513687,Ru,15,edge
965,-1.842941761,-1.861574707,Ru,15,facet
966,-2.243304729,-2.141829132,Ru,15,edge
967,-1.715518475,-1.73009083,Ru,15,facet
968,-1.910616875,-1.996512953,Ru,15,corner
969,-1.651371479,-1.649858575,Ru,15,facet
970,-1.614293575,-1.625387853,Ru,15,facet
971,-1.913868427,-1.851490379,Ru,15,facet
972,-1.855220795,-1.857516059,Ru,15,facet
973,-1.678322792,-1.672148944,Ru,15,facet
974,-1.695264816,-1.729895959,Ru,15,facet
975,-1.902452946,-1.949230297,Ru,15,edge
976,-1.872237682,-1.857403057,Ir,16,facet
977,-1.886073589,-1.944861798,Ir,16,edge
978,-1.565347195,-1.545544466,Ir,16,facet
979,-1.798699856,-1.853561703,Ir,16,edge
980,-2.143857479,-2.120867651,Ir,16,corner
981,-1.889561653,-1.798403936,Ir,16,facet
982,-2.00908947,-2.086309683,Ir,16,corner
983,-1.89417696,-1.920844433,Ir,16,edge
984,-1.975782871,-2.104834226,Ir,16,corner
985,-1.88445425,-1.951968035,Ir,16,edge
986,-1.674253941,-1.723471351,Ir,16,facet
987,-1.706316471,-1.753529725,Ir,16,facet
988,-1.820036411,-1.787363404,Ir,16,facet
989,-1.714265823,-1.702792271,Ir,16,facet
990,-2.057012081,-2.09330329,Ir,16,corner
991,-1.5512743,-1.557726049,Ir,16,facet
992,-1.593655109,-1.594992369,Ir,16,facet
993,-1.643614769,-1.706328116,Ir,16,facet
994,-1.952046871,-2.017014475,Ir,16,corner
995,-1.891634464,-1.890246968,Ir,16,edge
996,-1.991409302,-2.03511142,Ir,16,corner
997,-1.801237106,-1.808342433,Ir,16,facet
998,-1.280486107,-1.287778817,Pd,16,edge
999,-0.937685013,-0.977231112,Pd,16,facet
1000,-1.012545586,-0.991152243,Pd,16,facet
1001,-1.270999908,-1.279719828,Pd,16,edge
1002,-0.924434662,-0.96233146,Pd,16,facet
1003,-0.982983112,-0.9594791,Pd,16,facet
1004,-0.955991268,-0.921147352,Pd,16,facet
1005,-0.906497002,-0.939560817,Pd,16,facet
1006,-1.044043541,-1.02654852,Pd,16,facet
1007,-0.982624531,-1.029267847,Pd,16,facet
1008,-0.995984554,-1.035581551,Pd,16,facet
1009,-0.982105255,-1.012218877,Pd,16,facet
